"Step","VeryHighPen-DR3 - rollout/ep_len_mean","VeryHighPen-DR3 - rollout/ep_len_mean__MIN","VeryHighPen-DR3 - rollout/ep_len_mean__MAX","MedPen-HoleNoise - rollout/ep_len_mean","MedPen-HoleNoise - rollout/ep_len_mean__MIN","MedPen-HoleNoise - rollout/ep_len_mean__MAX"
"0","2.1645569801330566","2.1645569801330566","2.1645569801330566","","",""
"1","4.333333492279053","4.333333492279053","4.333333492279053","","",""
"2","4.333333492279053","4.333333492279053","4.333333492279053","","",""
"3","240.07000732421875","240.07000732421875","240.07000732421875","250","250","250"
"4","240.07000732421875","240.07000732421875","240.07000732421875","250","250","250"
"5","240.07000732421875","240.07000732421875","240.07000732421875","250","250","250"
"6","240.07000732421875","240.07000732421875","240.07000732421875","250","250","250"
"7","205.27999877929688","205.27999877929688","205.27999877929688","250","250","250"
"8","203.05999755859375","203.05999755859375","203.05999755859375","250","250","250"
"9","203.05999755859375","203.05999755859375","203.05999755859375","250","250","250"
"10","203.05999755859375","203.05999755859375","203.05999755859375","250","250","250"
"11","237.57000732421875","237.57000732421875","237.57000732421875","250","250","250"
"12","237.57000732421875","237.57000732421875","237.57000732421875","250","250","250"
"13","237.57000732421875","237.57000732421875","237.57000732421875","250","250","250"
"14","237.1199951171875","237.1199951171875","237.1199951171875","250","250","250"
"15","230.14999389648438","230.14999389648438","230.14999389648438","250","250","250"
"16","230.14999389648438","230.14999389648438","230.14999389648438","250","250","250"
"17","230.14999389648438","230.14999389648438","230.14999389648438","250","250","250"
"18","230.14999389648438","230.14999389648438","230.14999389648438","250","250","250"
"19","235.10000610351562","235.10000610351562","235.10000610351562","250","250","250"
"20","235.10000610351562","235.10000610351562","235.10000610351562","250","250","250"
"21","235.10000610351562","235.10000610351562","235.10000610351562","250","250","250"
"22","237.58999633789062","237.58999633789062","237.58999633789062","250","250","250"
"23","240.0800018310547","240.0800018310547","240.0800018310547","250","250","250"
"24","238.1199951171875","238.1199951171875","238.1199951171875","250","250","250"
"25","238.1199951171875","238.1199951171875","238.1199951171875","250","250","250"
"26","238.1199951171875","238.1199951171875","238.1199951171875","250","250","250"
"27","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"28","245.77000427246094","245.77000427246094","245.77000427246094","250","250","250"
"29","245.77000427246094","245.77000427246094","245.77000427246094","250","250","250"
"30","245.77000427246094","245.77000427246094","245.77000427246094","250","250","250"
"31","240.0800018310547","240.0800018310547","240.0800018310547","250","250","250"
"32","238.52999877929688","238.52999877929688","238.52999877929688","250","250","250"
"33","238.52999877929688","238.52999877929688","238.52999877929688","250","250","250"
"34","228.3000030517578","228.3000030517578","228.3000030517578","249.35000610351562","249.35000610351562","249.35000610351562"
"35","240.61000061035156","240.61000061035156","240.61000061035156","250","250","250"
"36","240.61000061035156","240.61000061035156","240.61000061035156","250","250","250"
"37","240.61000061035156","240.61000061035156","240.61000061035156","250","250","250"
"38","240.61000061035156","240.61000061035156","240.61000061035156","250","250","250"
"39","250","250","250","250","250","250"
"40","250","250","250","250","250","250"
"41","250","250","250","250","250","250"
"42","245.0399932861328","245.0399932861328","245.0399932861328","250","250","250"
"43","242.5800018310547","242.5800018310547","242.5800018310547","250","250","250"
"44","242.5800018310547","242.5800018310547","242.5800018310547","250","250","250"
"45","239.39999389648438","239.39999389648438","239.39999389648438","250","250","250"
"46","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"47","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"48","250","250","250","250","250","250"
"49","191.22999572753906","191.22999572753906","191.22999572753906","250","250","250"
"50","242.55999755859375","242.55999755859375","242.55999755859375","250","250","250"
"51","243.2899932861328","243.2899932861328","243.2899932861328","250","250","250"
"52","243.2899932861328","243.2899932861328","243.2899932861328","250","250","250"
"53","243.2899932861328","243.2899932861328","243.2899932861328","250","250","250"
"54","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"55","240.86000061035156","240.86000061035156","240.86000061035156","250","250","250"
"56","240.86000061035156","240.86000061035156","240.86000061035156","250","250","250"
"57","240.4199981689453","240.4199981689453","240.4199981689453","250","250","250"
"58","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"59","240.38999938964844","240.38999938964844","240.38999938964844","250","250","250"
"60","237.42999267578125","237.42999267578125","237.42999267578125","250","250","250"
"61","229.22000122070312","229.22000122070312","229.22000122070312","250","250","250"
"62","247.52000427246094","247.52000427246094","247.52000427246094","250","250","250"
"63","241.13999938964844","241.13999938964844","241.13999938964844","250","250","250"
"64","235.6999969482422","235.6999969482422","235.6999969482422","250","250","250"
"65","202.9499969482422","202.9499969482422","202.9499969482422","250","250","250"
"66","245.13999938964844","245.13999938964844","245.13999938964844","250","250","250"
"67","244.4499969482422","244.4499969482422","244.4499969482422","250","250","250"
"68","228.1999969482422","228.1999969482422","228.1999969482422","250","250","250"
"69","230.52000427246094","230.52000427246094","230.52000427246094","250","250","250"
"70","242.1199951171875","242.1199951171875","242.1199951171875","250","250","250"
"71","232.11000061035156","232.11000061035156","232.11000061035156","250","250","250"
"72","181.3000030517578","181.3000030517578","181.3000030517578","248.3800048828125","248.3800048828125","248.3800048828125"
"73","240.8000030517578","240.8000030517578","240.8000030517578","229.1699981689453","229.1699981689453","229.1699981689453"
"74","231.83999633789062","231.83999633789062","231.83999633789062","250","250","250"
"75","162.22000122070312","162.22000122070312","162.22000122070312","250","250","250"
"76","207.8800048828125","207.8800048828125","207.8800048828125","241.3800048828125","241.3800048828125","241.3800048828125"
"77","232.92999267578125","232.92999267578125","232.92999267578125","239.94000244140625","239.94000244140625","239.94000244140625"
"78","156.99000549316406","156.99000549316406","156.99000549316406","250","250","250"
"79","183.00999450683594","183.00999450683594","183.00999450683594","250","250","250"
"80","209.27000427246094","209.27000427246094","209.27000427246094","249.2100067138672","249.2100067138672","249.2100067138672"
"81","209.94000244140625","209.94000244140625","209.94000244140625","250","250","250"
"82","175","175","175","250","250","250"
"83","199.47999572753906","199.47999572753906","199.47999572753906","250","250","250"
"84","206.74000549316406","206.74000549316406","206.74000549316406","250","250","250"
"85","207.4199981689453","207.4199981689453","207.4199981689453","250","250","250"
"86","184.67999267578125","184.67999267578125","184.67999267578125","250","250","250"
"87","195.8699951171875","195.8699951171875","195.8699951171875","250","250","250"
"88","189.3699951171875","189.3699951171875","189.3699951171875","250","250","250"
"89","181.55999755859375","181.55999755859375","181.55999755859375","250","250","250"
"90","154.25999450683594","154.25999450683594","154.25999450683594","250","250","250"
"91","170.8800048828125","170.8800048828125","170.8800048828125","248.6699981689453","248.6699981689453","248.6699981689453"
"92","186.52999877929688","186.52999877929688","186.52999877929688","246.77999877929688","246.77999877929688","246.77999877929688"
"93","171.16000366210938","171.16000366210938","171.16000366210938","250","250","250"
"94","174.4600067138672","174.4600067138672","174.4600067138672","250","250","250"
"95","169.6199951171875","169.6199951171875","169.6199951171875","249.50999450683594","249.50999450683594","249.50999450683594"
"96","187.11000061035156","187.11000061035156","187.11000061035156","238.55999755859375","238.55999755859375","238.55999755859375"
