"Step","With Off-Edge Reset - rollout/ep_rew_mean","With Off-Edge Reset - rollout/ep_rew_mean__MIN","With Off-Edge Reset - rollout/ep_rew_mean__MAX","Without Off-Edge Reset - rollout/ep_rew_mean","Without Off-Edge Reset - rollout/ep_rew_mean__MIN","Without Off-Edge Reset - rollout/ep_rew_mean__MAX"
"3","24.470144271850586","24.470144271850586","24.470144271850586","15.086570739746094","15.086570739746094","15.086570739746094"
"4","24.470144271850586","24.470144271850586","24.470144271850586","15.086570739746094","15.086570739746094","15.086570739746094"
"5","24.470144271850586","24.470144271850586","24.470144271850586","15.086570739746094","15.086570739746094","15.086570739746094"
"6","24.470144271850586","24.470144271850586","24.470144271850586","15.086570739746094","15.086570739746094","15.086570739746094"
"7","25.10538673400879","25.10538673400879","25.10538673400879","15.987873077392578","15.987873077392578","15.987873077392578"
"8","25.10538673400879","25.10538673400879","25.10538673400879","15.987873077392578","15.987873077392578","15.987873077392578"
"9","25.10538673400879","25.10538673400879","25.10538673400879","15.987873077392578","15.987873077392578","15.987873077392578"
"10","25.10538673400879","25.10538673400879","25.10538673400879","15.987873077392578","15.987873077392578","15.987873077392578"
"11","26.328163146972656","26.328163146972656","26.328163146972656","17.58193588256836","17.58193588256836","17.58193588256836"
"12","26.328163146972656","26.328163146972656","26.328163146972656","17.58193588256836","17.58193588256836","17.58193588256836"
"13","26.328163146972656","26.328163146972656","26.328163146972656","17.58193588256836","17.58193588256836","17.58193588256836"
"14","25.613452911376953","25.613452911376953","25.613452911376953","17.134138107299805","17.134138107299805","17.134138107299805"
"15","34.21628189086914","34.21628189086914","34.21628189086914","23.07357406616211","23.07357406616211","23.07357406616211"
"16","34.21628189086914","34.21628189086914","34.21628189086914","23.07357406616211","23.07357406616211","23.07357406616211"
"17","33.84944152832031","33.84944152832031","33.84944152832031","23.07357406616211","23.07357406616211","23.07357406616211"
"18","33.46656036376953","33.46656036376953","33.46656036376953","22.177719116210938","22.177719116210938","22.177719116210938"
"19","49.2359733581543","49.2359733581543","49.2359733581543","28.694385528564453","28.694385528564453","28.694385528564453"
"20","49.2359733581543","49.2359733581543","49.2359733581543","28.694385528564453","28.694385528564453","28.694385528564453"
"21","49.597267150878906","49.597267150878906","49.597267150878906","28.36895751953125","28.36895751953125","28.36895751953125"
"22","88.55958557128906","88.55958557128906","88.55958557128906","40.84510803222656","40.84510803222656","40.84510803222656"
"23","48.71373748779297","48.71373748779297","48.71373748779297","23.31952476501465","23.31952476501465","23.31952476501465"
"24","48.214447021484375","48.214447021484375","48.214447021484375","24.834270477294922","24.834270477294922","24.834270477294922"
"25","71.84427642822266","71.84427642822266","71.84427642822266","42.26499557495117","42.26499557495117","42.26499557495117"
"26","58.77497482299805","58.77497482299805","58.77497482299805","24.43842887878418","24.43842887878418","24.43842887878418"
"27","20.341785430908203","20.341785430908203","20.341785430908203","9.028104782104492","9.028104782104492","9.028104782104492"
"28","45.5795783996582","45.5795783996582","45.5795783996582","15.225471496582031","15.225471496582031","15.225471496582031"
"29","72.99696350097656","72.99696350097656","72.99696350097656","31.103445053100586","31.103445053100586","31.103445053100586"
"30","36.27544403076172","36.27544403076172","36.27544403076172","19.230636596679688","19.230636596679688","19.230636596679688"
"31","42.71562957763672","42.71562957763672","42.71562957763672","15.751059532165527","15.751059532165527","15.751059532165527"
"32","68.09325408935547","68.09325408935547","68.09325408935547","29.92315673828125","29.92315673828125","29.92315673828125"
"33","57.38088607788086","57.38088607788086","57.38088607788086","28.20695686340332","28.20695686340332","28.20695686340332"
"34","32.0274772644043","32.0274772644043","32.0274772644043","20.558462142944336","20.558462142944336","20.558462142944336"
"35","43.16242599487305","43.16242599487305","43.16242599487305","21.18131446838379","21.18131446838379","21.18131446838379"
"36","55.92220687866211","55.92220687866211","55.92220687866211","32.23487854003906","32.23487854003906","32.23487854003906"
"37","56.8338737487793","56.8338737487793","56.8338737487793","24.13616943359375","24.13616943359375","24.13616943359375"
"38","34.387001037597656","34.387001037597656","34.387001037597656","14.394111633300781","14.394111633300781","14.394111633300781"
"39","66.17961883544922","66.17961883544922","66.17961883544922","25.423908233642578","25.423908233642578","25.423908233642578"
"40","52.044376373291016","52.044376373291016","52.044376373291016","27.61050796508789","27.61050796508789","27.61050796508789"
"41","42.463199615478516","42.463199615478516","42.463199615478516","22.615398406982422","22.615398406982422","22.615398406982422"
"42","22.997678756713867","22.997678756713867","22.997678756713867","17.347116470336914","17.347116470336914","17.347116470336914"
"43","27.614398956298828","27.614398956298828","27.614398956298828","30.347524642944336","30.347524642944336","30.347524642944336"
"44","40.499019622802734","40.499019622802734","40.499019622802734","24.663427352905273","24.663427352905273","24.663427352905273"
"45","27.649799346923828","27.649799346923828","27.649799346923828","18.24534034729004","18.24534034729004","18.24534034729004"
"46","43.461021423339844","43.461021423339844","43.461021423339844","12.140311241149902","12.140311241149902","12.140311241149902"
"47","31.883995056152344","31.883995056152344","31.883995056152344","25.847591400146484","25.847591400146484","25.847591400146484"
"48","35.43535232543945","35.43535232543945","35.43535232543945","23.10304069519043","23.10304069519043","23.10304069519043"
"49","37.6123046875","37.6123046875","37.6123046875","23.790882110595703","23.790882110595703","23.790882110595703"
"50","43.33869934082031","43.33869934082031","43.33869934082031","26.03215980529785","26.03215980529785","26.03215980529785"
"51","52.51564407348633","52.51564407348633","52.51564407348633","21.278249740600586","21.278249740600586","21.278249740600586"
"52","35.49053192138672","35.49053192138672","35.49053192138672","16.720766067504883","16.720766067504883","16.720766067504883"
"53","37.65227127075195","37.65227127075195","37.65227127075195","16.445701599121094","16.445701599121094","16.445701599121094"
"54","31.183032989501953","31.183032989501953","31.183032989501953","17.190946578979492","17.190946578979492","17.190946578979492"
"55","47.030853271484375","47.030853271484375","47.030853271484375","19.165815353393555","19.165815353393555","19.165815353393555"
"56","44.106014251708984","44.106014251708984","44.106014251708984","23.123292922973633","23.123292922973633","23.123292922973633"
"57","40.96941375732422","40.96941375732422","40.96941375732422","28.818567276000977","28.818567276000977","28.818567276000977"
"58","39.0768928527832","39.0768928527832","39.0768928527832","25.489727020263672","25.489727020263672","25.489727020263672"
"59","45.57173538208008","45.57173538208008","45.57173538208008","25.16717529296875","25.16717529296875","25.16717529296875"
"60","45.10101318359375","45.10101318359375","45.10101318359375","30.365812301635742","30.365812301635742","30.365812301635742"
"61","51.41928482055664","51.41928482055664","51.41928482055664","35.31713104248047","35.31713104248047","35.31713104248047"
"62","41.5584831237793","41.5584831237793","41.5584831237793","26.140581130981445","26.140581130981445","26.140581130981445"
"63","49.305904388427734","49.305904388427734","49.305904388427734","35.436500549316406","35.436500549316406","35.436500549316406"
"64","55.115386962890625","55.115386962890625","55.115386962890625","30.35405731201172","30.35405731201172","30.35405731201172"
"65","43.65659713745117","43.65659713745117","43.65659713745117","22.686050415039062","22.686050415039062","22.686050415039062"
"66","42.328468322753906","42.328468322753906","42.328468322753906","28.19927406311035","28.19927406311035","28.19927406311035"
"67","30.724334716796875","30.724334716796875","30.724334716796875","22.789466857910156","22.789466857910156","22.789466857910156"
"68","47.7315559387207","47.7315559387207","47.7315559387207","20.264564514160156","20.264564514160156","20.264564514160156"
"69","33.03583526611328","33.03583526611328","33.03583526611328","34.39265441894531","34.39265441894531","34.39265441894531"
"70","53.03860092163086","53.03860092163086","53.03860092163086","24.874849319458008","24.874849319458008","24.874849319458008"
"71","41.10972213745117","41.10972213745117","41.10972213745117","28.47004508972168","28.47004508972168","28.47004508972168"
"72","44.89827346801758","44.89827346801758","44.89827346801758","28.830341339111328","28.830341339111328","28.830341339111328"
"73","67.98486328125","67.98486328125","67.98486328125","31.321044921875","31.321044921875","31.321044921875"
"74","43.80570983886719","43.80570983886719","43.80570983886719","22.751577377319336","22.751577377319336","22.751577377319336"
"75","45.20800018310547","45.20800018310547","45.20800018310547","32.18453598022461","32.18453598022461","32.18453598022461"
"76","37.4703483581543","37.4703483581543","37.4703483581543","30.75409507751465","30.75409507751465","30.75409507751465"
"77","42.52229309082031","42.52229309082031","42.52229309082031","28.710641860961914","28.710641860961914","28.710641860961914"
"78","45.22800827026367","45.22800827026367","45.22800827026367","34.97422790527344","34.97422790527344","34.97422790527344"
"79","39.58494567871094","39.58494567871094","39.58494567871094","25.05783462524414","25.05783462524414","25.05783462524414"
"80","25.34981918334961","25.34981918334961","25.34981918334961","22.726484298706055","22.726484298706055","22.726484298706055"
"81","36.44574737548828","36.44574737548828","36.44574737548828","18.345380783081055","18.345380783081055","18.345380783081055"
"82","30.949119567871094","30.949119567871094","30.949119567871094","21.218215942382812","21.218215942382812","21.218215942382812"
"83","45.85927963256836","45.85927963256836","45.85927963256836","27.34971046447754","27.34971046447754","27.34971046447754"
"84","46.258949279785156","46.258949279785156","46.258949279785156","31.468769073486328","31.468769073486328","31.468769073486328"
"85","48.06850814819336","48.06850814819336","48.06850814819336","26.735960006713867","26.735960006713867","26.735960006713867"
"86","39.660552978515625","39.660552978515625","39.660552978515625","31.898296356201172","31.898296356201172","31.898296356201172"
"87","37.589019775390625","37.589019775390625","37.589019775390625","31.439355850219727","31.439355850219727","31.439355850219727"
"88","40.328285217285156","40.328285217285156","40.328285217285156","30.550657272338867","30.550657272338867","30.550657272338867"
"89","57.655555725097656","57.655555725097656","57.655555725097656","24.53716278076172","24.53716278076172","24.53716278076172"
"90","28.931243896484375","28.931243896484375","28.931243896484375","21.038082122802734","21.038082122802734","21.038082122802734"
"91","44.445552825927734","44.445552825927734","44.445552825927734","36.067298889160156","36.067298889160156","36.067298889160156"
"92","26.75254249572754","26.75254249572754","26.75254249572754","23.353904724121094","23.353904724121094","23.353904724121094"
"93","31.384187698364258","31.384187698364258","31.384187698364258","30.03676414489746","30.03676414489746","30.03676414489746"
"94","28.657730102539062","28.657730102539062","28.657730102539062","31.005460739135742","31.005460739135742","31.005460739135742"
"95","22.681711196899414","22.681711196899414","22.681711196899414","20.305238723754883","20.305238723754883","20.305238723754883"
"96","44.087913513183594","44.087913513183594","44.087913513183594","31.640880584716797","31.640880584716797","31.640880584716797"
"97","23.92552947998047","23.92552947998047","23.92552947998047","33.69143295288086","33.69143295288086","33.69143295288086"
"98","31.2125301361084","31.2125301361084","31.2125301361084","33.73604202270508","33.73604202270508","33.73604202270508"
